Note: This spreadsheet may include values that are preliminary or unreviewed.,,,,,,,
Activity Start Date,Activity Start Time,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Characteristic Name,Result Value,Result Unit
5/23/2016,6:00:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,30.5,NTU
5/24/2016,4:16:00 PM,Boulder Creek,65.56783,-144.88885,Specific conductance,55,uS/cm
5/24/2016,4:16:00 PM,Boulder Creek,65.56783,-144.88885,pH,6.64,None
5/24/2016,4:16:00 PM,Boulder Creek,65.56783,-144.88885,Dissolved oxygen (DO),15.8,mg/l
5/24/2016,4:16:00 PM,Boulder Creek,65.56783,-144.88885,Turbidity,140,NTU
5/24/2016,4:16:00 PM,Boulder Creek,65.56783,-144.88885,"Temperature, water",4.64,deg C
5/25/2016,10:25:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Specific conductance,76,uS/cm
5/25/2016,10:25:00 AM,Crooked Creek at BLM,65.57363,-144.80286,pH,6.59,None
5/25/2016,10:25:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Dissolved oxygen (DO),15,mg/l
5/25/2016,10:25:00 AM,Crooked Creek at BLM,65.57363,-144.80286,"Temperature, water",4.02,deg C
5/25/2016,10:25:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,16,NTU
5/25/2016,12:09:00 PM,Ketchem Creek,65.50849,-144.69472,"Temperature, water",6.04,deg C
5/25/2016,12:09:00 PM,Ketchem Creek,65.50849,-144.69472,Specific conductance,50,uS/cm
5/25/2016,12:09:00 PM,Ketchem Creek,65.50849,-144.69472,Turbidity,21,NTU
5/25/2016,12:09:00 PM,Ketchem Creek,65.50849,-144.69472,pH,6.7,None
5/25/2016,12:09:00 PM,Ketchem Creek,65.50849,-144.69472,Dissolved oxygen (DO),12.4,mg/l
5/25/2016,2:30:00 PM,Bedrock Creek,65.55677,-145.09042,pH,5.03,None
5/25/2016,2:30:00 PM,Bedrock Creek,65.55677,-145.09042,Specific conductance,18,uS/cm
5/25/2016,2:30:00 PM,Bedrock Creek,65.55677,-145.09042,Dissolved oxygen (DO),13.52,mg/l
5/25/2016,2:30:00 PM,Bedrock Creek,65.55677,-145.09042,"Temperature, water",4.97,deg C
5/25/2016,2:30:00 PM,Bedrock Creek,65.55677,-145.09042,Turbidity,2,NTU
5/25/2016,5:03:00 PM,Boulder Creek,65.56783,-144.88885,Turbidity,194,NTU
5/25/2016,5:03:00 PM,Boulder Creek,65.56783,-144.88885,"Temperature, water",5.26,deg C
5/25/2016,5:03:00 PM,Boulder Creek,65.56783,-144.88885,Dissolved oxygen (DO),13.05,mg/l
5/25/2016,5:03:00 PM,Boulder Creek,65.56783,-144.88885,pH,6.94,None
5/25/2016,5:03:00 PM,Boulder Creek,65.56783,-144.88885,Specific conductance,65,uS/cm
5/26/2016,9:07:00 AM,Crooked Creek at BLM,65.57363,-144.80286,Turbidity,9.89,NTU
5/26/2016,12:54:00 PM,Deadwood Creek,65.53982,-144.76285,Specific conductance,114,uS/cm
5/26/2016,12:54:00 PM,Deadwood Creek,65.53982,-144.76285,Turbidity,10,NTU
5/26/2016,12:54:00 PM,Deadwood Creek,65.53982,-144.76285,"Temperature, water",4.72,deg C
5/26/2016,12:54:00 PM,Deadwood Creek,65.53982,-144.76285,Dissolved oxygen (DO),13.18,mg/l
5/26/2016,12:54:00 PM,Deadwood Creek,65.53982,-144.76285,pH,7.32,None
5/26/2016,4:04:00 PM,Crooked Creek at BLM,65.57363,-144.80286,"Temperature, water",4.07,deg C
5/26/2016,4:04:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Dissolved oxygen (DO),14.23,mg/l
5/26/2016,4:04:00 PM,Crooked Creek at BLM,65.57363,-144.80286,Specific conductance,80,uS/cm
5/26/2016,4:04:00 PM,Crooked Creek at BLM,65.57363,-144.80286,pH,6.77,None
6/6/2016,1:23:00 PM,Ketchem Creek,65.50849,-144.69472,pH,4.86,None
6/6/2016,1:23:00 PM,Ketchem Creek,65.50849,-144.69472,Specific conductance,74,uS/cm
6/6/2016,1:23:00 PM,Ketchem Creek,65.50849,-144.69472,Dissolved oxygen (DO),10.78,mg/l
6/6/2016,1:23:00 PM,Ketchem Creek,65.50849,-144.69472,Total suspended solids,8.2,mg/l
