Year,End Latitude Decimal Degrees,End Longitude Decimal Degrees,G Stat Area,Target Species Code,Avg Depth Fathoms,Substrate Type,Species,Sex,Age,Length Millimeters,Weight Kilograms,Number of Specimens
2000,54.466333,-132.585167,325401,710,204,Coral,Rougheye rockfish,Female,18,440,1.3,1
2000,54.466333,-132.585167,325401,710,204,Coral,Rougheye rockfish,Female,45,510,2,1
2000,54.466333,-132.585167,325401,710,204,Coral,Rougheye rockfish,Female,48,540,2.5,1
2000,54.466333,-132.585167,325401,710,204,Coral,Rougheye rockfish,Male,32,490,2,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,5,620,2.3,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,7,580,1.9,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,7,580,2.4,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,7,650,2.9,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,8,660,2.9,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Female,8,720,4,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,6,570,1.9,2
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,7,570,2,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,7,580,1.9,2
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,8,600,2.5,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,10,630,2.9,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,11,630,2.6,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,13,620,2.4,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,13,640,2.7,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,18,610,2.5,1
2000,54.466333,-132.585167,325401,710,204,Coral,Sablefish,Male,23,620,2.4,1
2000,54.466333,-132.585167,325401,710,204,Coral,Shortraker rockfish,Male,49,870,11.7,1
2000,54.466333,-132.585167,325401,710,204,Coral,Shortraker rockfish,Male,104,950,15.2,1
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,320,,2
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,370,,1
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,380,,2
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,390,,4
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,420,,1
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,440,,2
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,580,,1
2000,54.466333,-132.585167,325401,710,204,Coral,Thornyhead rockfish,,,600,,1
2000,54.474,-132.3625,325401,710,197,Coral,Rougheye rockfish,Female,24,480,1.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Rougheye rockfish,Female,39,560,2.6,1
2000,54.474,-132.3625,325401,710,197,Coral,Rougheye rockfish,Male,27,470,1.6,1
2000,54.474,-132.3625,325401,710,197,Coral,Rougheye rockfish,Male,56,580,3.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,3,580,2.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,6,560,1.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,6,630,2.3,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,8,640,2.5,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,10,710,3.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Female,13,640,2.2,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,5,520,1.3,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,7,540,1.5,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,7,600,2.3,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,8,600,2.4,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,10,600,2.3,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,11,630,2.5,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,11,640,2.4,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,13,650,2.8,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,16,620,2.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,16,710,3.6,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,17,630,2.6,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,17,640,3,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,23,690,3.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,23,700,3.6,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,24,590,2.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Sablefish,Male,26,690,3.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,,35,,4.3,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Female,35,590,3,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Female,101,590,3.2,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Female,130,610,3.5,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,31,640,4,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,33,530,2.9,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,72,590,3.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,82,910,11.1,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,102,770,6.8,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,102,780,6.7,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,105,840,8.8,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,111,640,4.2,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,111,680,4.4,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,122,710,6,1
2000,54.474,-132.3625,325401,710,197,Coral,Shortraker rockfish,Male,144,630,3.9,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,260,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,290,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,310,,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,320,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,350,,1
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,360,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,370,,2
2000,54.474,-132.3625,325401,710,197,Coral,Thornyhead rockfish,,,380,,3
