Year,Catch Date,Stat Week,Harvest,Gear,District,Percent Males,Sample Size,Fish Weight Pounds,Number of Fish Weighed
2000,6/22/2000 0:00,26,Traditional State Managed Fisheries,Purse Seine,112,84.09090909,44,,
2000,6/25/2000 0:00,27,Traditional State Managed Fisheries,Purse Seine,112,74.6031746,252,,
2000,6/28/2000 0:00,27,Test Fisheries for Run Strength Assessment,Purse Seine,109,87.23404255,47,,
2000,7/2/2000 0:00,28,Traditional State Managed Fisheries,Purse Seine,104,68.125,160,,
2000,7/2/2000 0:00,28,Traditional State Managed Fisheries,Purse Seine,112,69.33333333,300,,
2000,7/5/2000 0:00,28,Traditional State Managed Fisheries,Purse Seine,104,66,200,,
2000,7/5/2000 0:00,28,Traditional State Managed Fisheries,Purse Seine,112,75.33333333,300,,
2000,7/6/2000 0:00,28,Test Fisheries for Run Strength Assessment,Purse Seine,109,75.31847134,628,,
2000,7/7/2000 0:00,28,Test Fisheries for Run Strength Assessment,Beach Seine,112,73.04964539,423,,
2000,7/9/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,104,70.34482759,290,,
2000,7/9/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,112,64.66666667,600,,
2000,7/12/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,104,68,150,,
2000,7/12/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,107,53.81165919,223,,
2000,7/12/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,110,74.78510029,349,,
2000,7/12/2000 0:00,29,Traditional State Managed Fisheries,Purse Seine,112,63,300,,
2000,7/13/2000 0:00,29,Test Fisheries for Run Strength Assessment,Purse Seine,109,65.32846715,822,,
2000,7/14/2000 0:00,29,Test Fisheries for Run Strength Assessment,Beach Seine,112,61.03542234,367,,
2000,7/16/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,104,68.66666667,300,,
2000,7/16/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,107,52.33333333,300,,
2000,7/16/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,112,54.66666667,300,,
2000,7/19/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,101,52.24625624,1202,,
2000,7/19/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,104,68.51851852,594,,
2000,7/19/2000 0:00,30,Traditional State Managed Fisheries,Purse Seine,112,64.5,600,,
2000,7/19/2000 0:00,30,,Beach Seine,101,54.66666667,300,,
2000,7/20/2000 0:00,30,Test Fisheries for Run Strength Assessment,Purse Seine,109,70.21276596,1410,,
2000,7/21/2000 0:00,30,Test Fisheries for Run Strength Assessment,Purse Seine,112,64.06926407,693,,
2000,7/23/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,101,53.33333333,600,,
2000,7/23/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,102,71,300,,
2000,7/23/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,104,61.82432432,296,,
2000,7/23/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,109,74,300,,
2000,7/26/2000 0:00,31,Test Fisheries for Run Strength Assessment,Purse Seine,109,71.14427861,603,,
2000,7/26/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,101,45.33333333,300,,
2000,7/26/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,104,68.66666667,750,,
2000,7/26/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,105,83,300,,
2000,7/26/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,109,82,300,,
2000,7/26/2000 0:00,31,Traditional State Managed Fisheries,Purse Seine,112,57.09677419,310,,
2000,7/28/2000 0:00,31,Test Fisheries for Run Strength Assessment,Purse Seine,109,63.75358166,698,,
2000,7/30/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,101,49.66666667,300,,
2000,7/30/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,104,55.44444444,900,,
2000,7/30/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,109,59,300,,
2000,7/30/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,112,56.88888889,900,,
2000,7/30/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,113,55.12820513,312,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,101,49.16666667,600,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,102,48.33333333,300,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,104,48,600,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,105,68,450,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,109,61.33333333,300,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,112,57.33333333,600,,
2000,8/2/2000 0:00,32,Traditional State Managed Fisheries,Purse Seine,113,56.30743525,1197,,
2000,8/6/2000 0:00,33,Hatchery Terminal Area Fisheries,Purse Seine,113,52,300,,
2000,8/6/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,101,49.80842912,261,,
2000,8/6/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,102,48.33333333,300,,
2000,8/6/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,104,39.66666667,300,,
2000,8/6/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,112,50.06666667,1500,,
2000,8/6/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,113,51.5,600,,
2000,8/7/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,104,41.33333333,300,,
2000,8/7/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,105,61.33333333,150,,
2000,8/7/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,109,49,300,,
2000,8/7/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,113,51.53846154,650,,
2000,8/9/2000 0:00,33,Hatchery Terminal Area Fisheries,Purse Seine,113,52.31788079,151,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,101,43.33333333,300,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,102,44,300,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,103,53.66666667,300,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,104,34,300,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,109,41.66666667,300,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,112,50.66666667,1200,,
2000,8/10/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,113,48.5,600,,
2000,8/11/2000 0:00,33,Traditional State Managed Fisheries,Purse Seine,105,51.66666667,300,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,102,50.66666667,300,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,103,47.66666667,300,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,104,43.33333333,300,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,109,32,300,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,112,47,1200,,
2000,8/14/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,113,43.33333333,300,,
2000,8/15/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,101,36.33333333,300,,
2000,8/15/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,105,42.33333333,300,,
2000,8/18/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,102,39,300,,
2000,8/18/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,103,36.13138686,274,,
2000,8/18/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,112,44.88888889,900,,
2000,8/18/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,113,47,900,,
2000,8/19/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,105,40,300,,
2000,8/19/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,109,37.33333333,300,,
2000,8/19/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,112,40.33333333,300,,
2000,8/19/2000 0:00,34,Traditional State Managed Fisheries,Purse Seine,113,43.33333333,300,,
2000,8/20/2000 0:00,35,Hatchery Terminal Area Fisheries,Purse Seine,113,44.33333333,300,,
2000,8/22/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,103,38.86925795,283,,
2000,8/22/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,109,34.33333333,300,,
2000,8/22/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,112,41.66666667,300,,
2000,8/22/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,113,42.85714286,889,,
2000,8/23/2000 0:00,35,Hatchery Terminal Area Fisheries,Purse Seine,113,38.35616438,292,,
2000,8/23/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,105,31.33333333,150,,
2000,8/26/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,103,43.11594203,276,,
2000,8/26/2000 0:00,35,Traditional State Managed Fisheries,Purse Seine,109,40.33333333,300,,
2000,8/30/2000 0:00,36,Traditional State Managed Fisheries,Purse Seine,109,38.66666667,300,,
2000,8/30/2000 0:00,36,Traditional State Managed Fisheries,Purse Seine,114,35.66666667,300,,
2000,8/31/2000 0:00,36,Traditional State Managed Fisheries,Purse Seine,113,40.66666667,300,,
2000,9/3/2000 0:00,37,Traditional State Managed Fisheries,Purse Seine,113,40.21978022,910,,
2001,6/26/2001 0:00,26,Test Fisheries for Run Strength Assessment,Purse Seine,112,76.8115942,138,,
2001,6/27/2001 0:00,26,Test Fisheries for Run Strength Assessment,Purse Seine,109,90.74074074,54,,
2001,7/5/2001 0:00,27,Test Fisheries for Run Strength Assessment,Purse Seine,109,65,100,,
2001,7/6/2001 0:00,27,Test Fisheries for Run Strength Assessment,Purse Seine,109,71.60305344,655,,
2001,7/6/2001 0:00,27,Test Fisheries for Run Strength Assessment,Purse Seine,112,62.40409207,391,,
2001,7/8/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,101,67.5862069,290,,
2001,7/8/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,104,55,300,,
2001,7/8/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,112,62.66666667,300,,
2001,7/8/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,113,63.33333333,600,,
2001,7/11/2001 0:00,28,Test Fisheries for Run Strength Assessment,Purse Seine,109,71.46050671,1342,,
2001,7/12/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,107,60.33333333,300,,
2001,7/12/2001 0:00,28,Traditional State Managed Fisheries,Purse Seine,112,66.16666667,600,,
2001,7/13/2001 0:00,28,Test Fisheries for Run Strength Assessment,Purse Seine,112,59.06642729,557,,
2001,7/15/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,104,55.5,600,,
2001,7/15/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,107,59.33333333,300,,
2001,7/15/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,112,60.77777778,900,,
2001,7/15/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,113,57.33333333,150,,
2001,7/16/2001 0:00,29,Test Fisheries for Run Strength Assessment,Purse Seine,109,68.42857143,700,,
2001,7/18/2001 0:00,29,Test Fisheries for Run Strength Assessment,Purse Seine,109,74.85714286,700,,
2001,7/19/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,101,51.71102662,526,,
2001,7/19/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,107,50,410,,
2001,7/19/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,112,58.66666667,900,,
2001,7/19/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,113,59.16666667,600,,
2001,7/21/2001 0:00,29,Traditional State Managed Fisheries,Purse Seine,114,52.66666667,300,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,101,43.66666667,300,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,107,48.33333333,300,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,109,60.66666667,300,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,112,59.66666667,300,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,113,60.74193548,465,,
2001,7/22/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,114,58.917603,1335,,
2001,7/22/2001 0:00,30,,Purse Seine,101,50.66666667,150,,
2001,7/22/2001 0:00,30,,Purse Seine,114,59,300,,
2001,7/23/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,101,65.33333333,150,,
2001,7/24/2001 0:00,30,Test Fisheries for Run Strength Assessment,Purse Seine,109,69.28571429,1400,,
2001,7/25/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,113,62.66666667,600,,
2001,7/26/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,101,55,300,,
2001,7/26/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,107,53,300,,
2001,7/26/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,112,58.66666667,1200,,
2001,7/26/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,113,56.16666667,600,,
2001,7/26/2001 0:00,30,Traditional State Managed Fisheries,Purse Seine,114,57.66666667,600,,
2001,7/29/2001 0:00,31,Traditional State Managed Fisheries,Purse Seine,101,47.33333333,300,,
2001,7/29/2001 0:00,31,Traditional State Managed Fisheries,Purse Seine,104,58.66666667,600,,
2001,7/29/2001 0:00,31,Traditional State Managed Fisheries,Purse Seine,107,46.66666667,150,,
2001,7/29/2001 0:00,31,Traditional State Managed Fisheries,Purse Seine,109,55,300,,
