Year,River,Species,Escapement_Count,Count_Type
1972,Auke Creek,Coho Salmon,NA,NA
1973,Auke Creek,Coho Salmon,NA,NA
1974,Auke Creek,Coho Salmon,NA,NA
1975,Auke Creek,Coho Salmon,NA,NA
1976,Auke Creek,Coho Salmon,NA,NA
1977,Auke Creek,Coho Salmon,NA,NA
1978,Auke Creek,Coho Salmon,NA,NA
1979,Auke Creek,Coho Salmon,NA,NA
1980,Auke Creek,Coho Salmon,698,Weir
1981,Auke Creek,Coho Salmon,646,Weir
1982,Auke Creek,Coho Salmon,447,Weir
1983,Auke Creek,Coho Salmon,694,Weir
1984,Auke Creek,Coho Salmon,651,Weir
1985,Auke Creek,Coho Salmon,942,Weir
1986,Auke Creek,Coho Salmon,454,Weir
1987,Auke Creek,Coho Salmon,668,Weir
1988,Auke Creek,Coho Salmon,756,Weir
1989,Auke Creek,Coho Salmon,502,Weir
1990,Auke Creek,Coho Salmon,697,Weir
1991,Auke Creek,Coho Salmon,808,Weir
1992,Auke Creek,Coho Salmon,1020,Weir
1993,Auke Creek,Coho Salmon,859,Weir
1994,Auke Creek,Coho Salmon,1437,Weir
1995,Auke Creek,Coho Salmon,460,Weir
1996,Auke Creek,Coho Salmon,515,Weir
1997,Auke Creek,Coho Salmon,609,Weir
1998,Auke Creek,Coho Salmon,862,Weir
1999,Auke Creek,Coho Salmon,845,Weir
2000,Auke Creek,Coho Salmon,683,Weir
2001,Auke Creek,Coho Salmon,865,Weir
2002,Auke Creek,Coho Salmon,1176,Weir
2003,Auke Creek,Coho Salmon,585,Weir
2004,Auke Creek,Coho Salmon,416,Weir
2005,Auke Creek,Coho Salmon,450,Weir
2006,Auke Creek,Coho Salmon,581,Weir
2007,Auke Creek,Coho Salmon,352,Weir
2008,Auke Creek,Coho Salmon,600,Weir
2009,Auke Creek,Coho Salmon,360,Weir
2010,Auke Creek,Coho Salmon,417,Weir
2011,Auke Creek,Coho Salmon,517,Weir
2012,Auke Creek,Coho Salmon,837,Weir
2013,Auke Creek,Coho Salmon,736,Weir
2014,Auke Creek,Coho Salmon,1533,Weir
2015,Auke Creek,Coho Salmon,517,Weir
2016,Auke Creek,Coho Salmon,204,Weir
2017,Auke Creek,Coho Salmon,283,Weir
2018,Auke Creek,Coho Salmon,146,Weir
2019,Auke Creek,Coho Salmon,345,Weir
1972,Montana Creek,Coho Salmon,NA,NA
1973,Montana Creek,Coho Salmon,NA,NA
1974,Montana Creek,Coho Salmon,NA,NA
1975,Montana Creek,Coho Salmon,NA,NA
1976,Montana Creek,Coho Salmon,NA,NA
1977,Montana Creek,Coho Salmon,NA,NA
1978,Montana Creek,Coho Salmon,NA,NA
1979,Montana Creek,Coho Salmon,NA,NA
1980,Montana Creek,Coho Salmon,NA,NA
1981,Montana Creek,Coho Salmon,227,Survey
1982,Montana Creek,Coho Salmon,545,Survey
1983,Montana Creek,Coho Salmon,636,Survey
1984,Montana Creek,Coho Salmon,581,Survey
1985,Montana Creek,Coho Salmon,810,Survey
1986,Montana Creek,Coho Salmon,60,Survey
1987,Montana Creek,Coho Salmon,314,Survey
1988,Montana Creek,Coho Salmon,164,Survey
1989,Montana Creek,Coho Salmon,566,Survey
1990,Montana Creek,Coho Salmon,1711,Survey
1991,Montana Creek,Coho Salmon,1415,Survey
1992,Montana Creek,Coho Salmon,2512,Survey
1993,Montana Creek,Coho Salmon,1352,Survey
1994,Montana Creek,Coho Salmon,1829,Survey
1995,Montana Creek,Coho Salmon,600,Survey
1996,Montana Creek,Coho Salmon,798,Survey
1997,Montana Creek,Coho Salmon,1018,Survey
1998,Montana Creek,Coho Salmon,1160,Survey
1999,Montana Creek,Coho Salmon,1000,Survey
2000,Montana Creek,Coho Salmon,961,Survey
2001,Montana Creek,Coho Salmon,1119,Survey
2002,Montana Creek,Coho Salmon,2448,Survey
