Year,Obs Date,Weir Count Type,Maturity,Count
1982,8/1/1982,Counted live,Adult,1
1982,8/12/1982,Counted live,Adult,4
1982,8/13/1982,Counted live,Adult,5
1982,8/14/1982,Counted live,Adult,3
1982,8/15/1982,Counted live,Adult,5
1982,8/16/1982,Counted live,Adult,2
1982,8/17/1982,Counted live,Adult,4
1982,8/18/1982,Counted live,Adult,5
1982,8/19/1982,Counted live,Adult,4
1982,8/20/1982,Counted live,Adult,1
1982,8/22/1982,Counted live,Adult,1
1982,8/24/1982,Counted live,Adult,1
1982,8/26/1982,Counted live,Adult,1
1982,8/27/1982,Counted live,Adult,2
1982,8/28/1982,Counted live,Adult,7
1982,8/30/1982,Counted live,Adult,3
1982,8/31/1982,Counted live,Adult,1
1982,9/1/1982,Counted live,Adult,66
1982,9/2/1982,Counted live,Adult,63
1982,9/3/1982,Counted live,Adult,22
1982,9/4/1982,Counted live,Adult,9
1982,9/5/1982,Counted live,Adult,20
1982,9/6/1982,Counted live,Adult,50
1982,9/7/1982,Counted live,Adult,34
1982,9/8/1982,Counted live,Adult,12
1982,9/9/1982,Counted live,Adult,14
1982,9/10/1982,Counted live,Adult,14
1982,9/11/1982,Counted live,Adult,4
1982,9/12/1982,Counted live,Adult,14
1982,9/13/1982,Counted live,Adult,21
1982,9/14/1982,Counted live,Adult,14
1982,9/15/1982,Counted live,Adult,8
1982,9/16/1982,Counted live,Adult,39
1982,9/17/1982,Counted live,Adult,29
1982,9/18/1982,Counted live,Adult,18
1982,9/19/1982,Counted live,Adult,20
1982,9/20/1982,Counted live,Adult,8
1982,9/21/1982,Counted live,Adult,9
1982,9/22/1982,Counted live,Adult,5
1982,9/23/1982,Counted live,Adult,1
1982,9/24/1982,Counted live,Adult,3
1982,9/25/1982,Counted live,Adult,6
1982,9/26/1982,Counted live,Adult,6
1982,9/27/1982,Counted live,Adult,6
1982,9/28/1982,Counted live,Adult,4
1982,9/29/1982,Counted live,Adult,10
1982,9/30/1982,Counted live,Adult,10
1982,10/1/1982,Counted live,Adult,5
1982,10/2/1982,Counted live,Adult,55
1982,10/3/1982,Counted live,Adult,11
1982,10/4/1982,Counted live,Adult,86
1982,10/5/1982,Counted live,Adult,25
1982,10/6/1982,Counted live,Adult,20
1982,10/7/1982,Counted live,Adult,28
1982,10/8/1982,Counted live,Adult,13
1982,10/9/1982,Counted live,Adult,88
1982,10/10/1982,Counted live,Adult,386
1982,10/11/1982,Counted live,Adult,386
1982,10/12/1982,Counted live,Adult,170
1982,10/13/1982,Counted live,Adult,0
1982,10/14/1982,Counted live,Adult,0
1982,10/15/1982,Counted live,Adult,17
1982,10/16/1982,Counted live,Adult,6
1982,10/17/1982,Counted live,Adult,19
