"","unique_sample_id","origin_h_w"
"1","19DO019A5","H"
"2","19DO019A6","W"
"3","19DO019A7","W"
"4","19DO019A12","W"
"5","19DO019B5","W"
"6","19DO127A1","W"
"7","19DO127A2","W"
"8","19DO127A3","W"
"9","19DO127A5","W"
"10","19DO128A1","W"
"11","19DO128A5","W"
"12","19DO128A6","W"
"13","19DO128A7","W"
"14","19DO128A9","W"
"15","19DO128A11","W"
"16","19DO128A12","W"
"17","19DO128B1","W"
"18","19DO128B3","W"
"19","19DO128B4","W"
"20","19DO128B6","W"
"21","19DO128B7","W"
"22","19DO020A5","W"
"23","19DO020A9","W"
"24","19DO129A1","W"
"25","19DO129A3","W"
"26","19DO129A6","W"
"27","19DO129A7","W"
"28","19DO021A6","W"
"29","19DO021A7","W"
"30","19DO021B3","W"
"31","19DO021B8","W"
"32","19DO021C2","W"
"33","19DO021C7","W"
"34","19DO021D5","W"
"35","19DO021D6","W"
"36","19DO021D12","W"
"37","19DO021E3","W"
"38","19DO021E5","W"
"39","19DO021E6","W"
"40","19DO022A1","W"
"41","19DO022A8","W"
"42","19DO022B2","W"
"43","19DO022B3","W"
"44","19DO022B4","W"
"45","19DO022B6","W"
"46","19DO022B9","W"
"47","19DO022C7","W"
"48","19DO022C10","W"
"49","19DO022D4","W"
"50","19DO022E7","W"
"51","19DO022E9","W"
"52","19DO022E10","W"
"53","19DO022F2","W"
"54","19DO022F5","W"
"55","19DO130A3","W"
"56","19DO130A5","W"
"57","19DO130A6","W"
"58","19DO130A7","W"
"59","19DO130A11","W"
"60","19DO130A12","W"
"61","19DO130B6","W"
"62","19DO130B8","W"
"63","19DO130B9","W"
"64","19DO130B10","W"
"65","19DO130B11","W"
"66","19DO130B12","W"
"67","19DO130C3","W"
"68","19DO023A1","-"
"69","19DO023A4","W"
"70","19DO023A10","W"
"71","19DO023B4","W"
"72","19DO023B7","W"
"73","19DO024A2","W"
"74","19DO024A8","W"
"75","19DO024A9","W"
"76","19DO024A11","W"
"77","19DO024B1","W"
"78","19DO024B2","W"
"79","19DO131A1","W"
"80","19DO131A6","W"
"81","19DO131A7","W"
"82","19DO131A8","W"
"83","19DO131B1","W"
"84","19DO131B2","W"
"85","19DO131B4","W"
"86","19DO131B7","W"
"87","19DO131B8","W"
"88","19DO131B10","W"
"89","19DO131B11","W"
"90","19DO131C2","W"
"91","19DO133A1","W"
"92","19DO133A2","W"
"93","19DO133A3","W"
"94","19DO133A4","W"
"95","19DO133A5","W"
"96","19DO134A1","W"
"97","19DO134A2","W"
"98","19DO134A3","W"
"99","19DO134A4","W"
"100","19DO134A5","W"
"101","19DO134A6","W"
"102","19DO134A7","W"
"103","19DO134A8","W"
"104","19DO134A9","W"
"105","19DO134A10","W"
"106","19DO134A12","W"
"107","19DO135A5","W"
"108","19DO135A8","W"
"109","19DO135A9","W"
"110","19DO135A10","W"
"111","19DO025A6","W"
"112","19DO025A8","W"
"113","19DO025A10","W"
"114","19DO025A11","W"
"115","19DO025A12","W"
"116","19DO025B1","W"
"117","19DO025B10","W"
"118","19DO025B12","W"
"119","19DO025C2","W"
"120","19DO025C6","W"
"121","19DO025C10","W"
"122","19DO025D5","W"
"123","19DO025D8","W"
"124","19DO025D9","W"
"125","19DO025E10","W"
"126","19DO025F9","W"
"127","19DO027A1","W"
"128","19DO027A2","W"
"129","19DO027A8","W"
"130","19DO027A11","W"
"131","19DO027A12","W"
"132","19DO027B10","W"
"133","19DO027B11","W"
"134","19DO027C3","W"
"135","19DO027D3","W"
"136","19DO026A1","W"
"137","19DO026A2","W"
"138","19DO026A3","W"
"139","19DO026B2","W"
"140","19DO026B6","W"
"141","19DO026B7","W"
"142","19DO026C3","H"
"143","19DO028A8","W"
"144","19DO028A10","W"
"145","19DO028B10","W"
"146","19DO028C1","W"
"147","19DO028C4","W"
"148","19DO028C8","W"
"149","19DO028D4","W"
"150","19DO028D5","W"
"151","19DO028D8","W"
"152","19DO028D11","W"
"153","19DO028E3","W"
"154","19DO028E5","W"
"155","19DO028E6","W"
"156","19DO136A1","W"
"157","19DO136A3","W"
"158","19DO136A4","W"
"159","19DO136A5","W"
"160","19DO137A1","W"
"161","19DO137A2","W"
"162","19DO138A2","W"
"163","19DO138A3","W"
"164","19DO138A7","W"
"165","19DO138A8","W"
"166","19DO138A9","W"
"167","19DO138B4","W"
"168","19DO138B5","W"
"169","19DO138B6","W"
"170","19DO138C1","W"
"171","19DO138C6","W"
"172","19DO138C8","W"
"173","19DO138C9","W"
"174","19DO138C10","W"
"175","19DO138C12","W"
"176","19DO138D3","W"
"177","19DO138D4","W"
"178","19DO138D6","W"
"179","19DO138D8","W"
"180","19DO138D9","W"
"181","19DO138D10","W"
"182","19DO138D11","W"
"183","19DO029A1","W"
"184","19DO029A5","W"
"185","19DO029B3","W"
"186","19DO029B6","W"
"187","19DO029B7","W"
"188","19DO029B8","W"
"189","19DO029B11","W"
"190","19DO029C9","W"
"191","19DO029D4","W"
"192","19DO029D8","W"
"193","19DO029D9","W"
"194","19DO029E5","W"
"195","19DO029E6","W"
"196","19DO029E10","W"
"197","19DO030A9","W"
"198","19DO030B5","W"
"199","19DO030B8","W"
"200","19DO030B11","W"
"201","19DO030B12","W"
"202","19DO030C1","W"
"203","19DO030C10","W"
"204","19DO030D1","W"
"205","19DO030D4","W"
"206","19DO030D12","W"
"207","19DO030E2","W"
"208","19DO030E6","W"
"209","19DO030E11","W"
"210","19DO030F5","W"
"211","19DO030F7","W"
"212","19DO030F9","W"
"213","19DO139A1","W"
"214","19DO139A2","W"
"215","19DO139A3","W"
"216","19DO139A5","W"
"217","19DO139A6","W"
"218","19DO139A7","W"
"219","19DO032A1","W"
"220","19DO032A3","W"
"221","19DO032A5","W"
"222","19DO032A12","W"
"223","19DO032B5","W"
"224","19DO032B6","W"
"225","19DO032B11","W"
"226","19DO032C1","H"
"227","19DO032C2","H"
"228","19DO032C3","W"
"229","19DO032C4","W"
"230","19DO032C5","W"
"231","19DO032C6","W"
"232","19DO032C9","W"
"233","19DO032C10","W"
"234","19DO140A1","W"
"235","19DO141A1","W"
"236","19DO141A2","W"
"237","19DO141A3","W"
"238","19DO141A8","W"
"239","19DO142A1","W"
"240","19DO142A2","W"
"241","19DO142A4","W"
"242","19DO142A6","W"
"243","19DO142A9","W"
"244","19DO142A10","W"
"245","19DO142A11","W"
"246","19DO142B3","W"
"247","19DO142B4","W"
"248","19DO142B5","W"
"249","19DO142B6","W"
"250","19DO142B9","W"
"251","19DO142B11","W"
"252","19DO143A3","W"
"253","19DO143A4","W"
"254","19DO143A6","W"
"255","19DO143A7","W"
"256","19DO144A2","W"
"257","19DO144A5","W"
"258","19DO144A6","W"
"259","19DO033A12","W"
"260","19DO033B2","W"
"261","19DO033B4","W"
"262","19DO033C2","W"
"263","19DO033C6","W"
"264","19DO033C7","W"
"265","19DO033C10","W"
"266","19DO033C12","W"
"267","19DO033D5","W"
"268","19DO033E1","W"
"269","19DO033E2","W"
"270","19DO033E7","W"
"271","19DO033E8","W"
"272","19DO033E9","W"
"273","19DO033E10","W"
"274","19DO033F3","W"
"275","19DO033F4","W"
"276","19DO033F11","W"
"277","19DO033G5","W"
"278","19DO033H5","W"
"279","19DO035A3","W"
"280","19DO035A9","W"
"281","19DO035B1","H"
"282","19DO035B6","W"
"283","19DO035B7","W"
